Treat,plotID,Den,Gen,plantID,familyID,surv,flw,frt,frt.2,seeds,aborted,rel.seeds,seed.wt,mass.a,mass.b
HDHG,5,H,HG,1,4,1,1,3,2,33,14,0.571428571,6.792,5.8,0.8
HDHG,5,H,HG,2,6,1,1,21,6,69,22,1.194805195,6.995,1.9,0.2
HDHG,5,H,HG,3,11,1,1,16,7,73,19,1.264069264,7.413,20.8,1.3
HDHG,5,H,HG,4,14,1,1,18,8,107,23,1.852813853,8.554,18.2,1.1
HDHG,5,H,HG,5,6,1,1,1,1,16,4,0.277056277,7.771,65.8,6.1
HDHG,5,H,HG,6,14,1,1,0,0,0,0,0,0,6.6,1.2
HDHG,5,H,HG,7,2,1,1,7,10,69,17,1.194805195,6.082,55,5.8
HDHG,5,H,HG,8,2,1,1,18,12,166,34,2.874458874,8.217,11.6,0.8
HDHG,5,H,HG,9,4,1,1,3,2,29,2,0.502164502,7.559,18,1.2
HDHG,5,H,HG,10,1,1,1,9,5,63,18,1.090909091,6.03,12,0.7
HDHG,5,H,HG,11,1,1,1,18,2,22,6,0.380952381,7.714,13.4,1.4
HDHG,5,H,HG,12,11,1,1,5,3,46,17,0.796536797,8.004,10.9,0.6
HDHG,10,H,HG,1,2,1,1,137,55,664,128,3.61688613,7.892,0.1,0.1
HDHG,10,H,HG,2,14,1,1,2,2,27,9,0.147072177,6.982,27.9,6.7
HDHG,10,H,HG,3,11,1,1,22,19,238,87,1.296414004,8.847,3,1
HDHG,10,H,HG,4,9,1,1,294,31,294,104,1.601452594,5.474,26.7,4.5
HDHG,10,H,HG,5,2,1,1,142,18,184,24,1.002269651,7.728,8.3,0.9
HDHG,10,H,HG,6,1,1,1,122,32,294,43,1.601452594,6.134,7.2,0.5
HDHG,10,H,HG,7,7,1,1,5,5,77,18,0.41942806,8.854,32,5.1
HDHG,10,H,HG,8,9,1,1,3,3,37,12,0.201543354,7.663,4.2,0.1
HDHG,10,H,HG,9,7,1,1,7,7,109,24,0.593735826,8.033,23.6,2.7
HDHG,10,H,HG,10,1,1,1,17,14,185,33,1.007716768,9.221,0.8,0.1
HDHG,10,H,HG,11,11,1,1,2,2,32,4,0.174307765,8.651,18.6,1.5
HDHG,10,H,HG,12,14,1,1,5,5,62,16,0.337721295,7.798,0.1,0.01
HDHG,13,H,HG,1,7,1,1,145,115,1344,202,1.327079733,7.885,8.5,1.3
HDHG,13,H,HG,2,11,1,1,136,107,1168,177,1.153295483,7.2235,7.3,1.9
HDHG,13,H,HG,3,11,1,1,226,197,2469,209,2.437916564,8.472,0.6,0.2
HDHG,13,H,HG,4,7,1,1,47,36,377,52,0.372253765,6.441,5.1,1.1
HDHG,13,H,HG,5,9,1,1,2,2,36,11,0.035546779,7.934,1.5,0.2
HDHG,13,H,HG,6,2,1,1,8,7,97,18,0.09577882,7.622,0.5,0.001
HDHG,13,H,HG,7,9,1,1,74,66,802,97,0.791903234,8.559,2,0.6
HDHG,13,H,HG,8,8,1,1,154,122,1546,149,1.526536658,7.8823,14.5,3.3
HDHG,13,H,HG,9,8,1,1,137,78,963,107,0.950876327,7.548,10.6,2.7
HDHG,13,H,HG,10,2,1,1,227,208,2694,144,2.66008393,8.241,9.1,1.5
HDHG,13,H,HG,11,3,1,1,48,34,419,65,0.413725006,8.226,2.1,0.1
HDHG,13,H,HG,12,3,1,1,32,19,238,21,0.235003703,7.992,1.1,0.01
LDHG,2,L,HG,1,7,1,1,12,6,56,4,0.812575535,5.443,1.8,0.6
LDHG,2,L,HG,2,2,1,1,385,13,141,16,2.045949115,7.614,37.7,4
LDHG,2,L,HG,3,7,1,1,51,24,307,29,4.454655165,7.889,9.2,2.2
LDHG,2,L,HG,4,11,1,1,2,1,4,7,0.05804111,4.445,5.1,0.7
LDHG,2,L,HG,5,11,1,1,7,4,22,4,0.319226103,4.86,4.7,0.6
LDHG,2,L,HG,6,9,1,0,0,0,0,0,0,0,1.2,0.01
LDHG,2,L,HG,7,1,1,1,126,12,104,16,1.509068851,5.221,12.5,2.8
